gemeente,ondersteuning_amateurkunst
's-Hertogenbosch,Ja
Alphen-Chaam,Ja
Altena,Ja
Asten,Nee
Baarle-Nassau,Ja
Bergeijk,Ja
Bergen op Zoom,Ja
Bernheze,Ja
Best,Ja
Bladel,Ja
Boekel,Ja
Boxtel,Ja
Breda,Ja
Cranendonck,Ja
Deurne,Ja
Dongen,Ja
Drimmelen,Ja
Eersel,Ja
Eindhoven,Ja
Etten-Leur,Ja
Geertruidenberg,Ja
Geldrop-Mierlo,Ja
Gemert-Bakel,Ja
Gilze en Rijen,Ja
Goirle,Ja
Halderberge,Ja
Heeze-Leende,Ja
Helmond,Ja
Heusden,Ja
Hilvarenbeek,Nee
Laarbeek,Ja
Land van Cuijk,Ja
Loon op Zand,Nee
Maashorst,Ja
Meierijstad,Ja
Moerdijk,Ja
"Nuenen, Gerwen en Nederwetten",Ja
Oirschot,Ja
Oisterwijk,Ja
Oosterhout,Ja
Oss,Ja
Reusel-De Mierden,Nee
Roosendaal,Ja
Rucphen,Onbekend
Sint-Michielsgestel,Ja
Someren,Ja
Son en Breugel,Onbekend
Steenbergen,Ja
Tilburg,Ja
Valkenswaard,Ja
Veldhoven,Ja
Vught,Ja
Waalre,Ja
Waalwijk,Ja
Woensdrecht,Ja
Zundert,Ja
