Identifier;DimensionGroupId;DimensionId;Index;Title;Description;Status
1990JJ00;0;Perioden;1;1990;;Definitief
1991JJ00;0;Perioden;2;1991;;Definitief
1992JJ00;0;Perioden;3;1992;;Definitief
1993JJ00;0;Perioden;4;1993;;Definitief
1994JJ00;0;Perioden;5;1994;;Definitief
1995JJ00;0;Perioden;6;1995;;Definitief
1996JJ00;0;Perioden;7;1996;;Definitief
1997JJ00;0;Perioden;8;1997;;Definitief
1998JJ00;0;Perioden;9;1998;;Definitief
1999JJ00;0;Perioden;10;1999;;Definitief
2000JJ00;0;Perioden;11;2000;;Definitief
2001JJ00;0;Perioden;12;2001;;Definitief
2002JJ00;0;Perioden;13;2002;;Definitief
2003JJ00;0;Perioden;14;2003;;Definitief
2004JJ00;0;Perioden;15;2004;;Definitief
2005JJ00;0;Perioden;16;2005;;Definitief
2006JJ00;0;Perioden;17;2006;;Definitief
2007JJ00;0;Perioden;18;2007;;Definitief
2008JJ00;0;Perioden;19;2008;;Definitief
2009JJ00;0;Perioden;20;2009;;Definitief
2010JJ00;0;Perioden;21;2010;;Definitief
2011JJ00;0;Perioden;22;2011;;Definitief
2012JJ00;0;Perioden;23;2012;;Definitief
2013JJ00;0;Perioden;24;2013;;Definitief
2014JJ00;0;Perioden;25;2014;;Definitief
2015JJ00;0;Perioden;26;2015;;Definitief
2016JJ00;0;Perioden;27;2016;;Definitief
2017JJ00;0;Perioden;28;2017;;Definitief
2018JJ00;0;Perioden;29;2018;;Definitief
2019JJ00;0;Perioden;30;2019;;Definitief
2020JJ00;0;Perioden;31;2020;;Definitief
2021JJ00;0;Perioden;32;2021;;Definitief
2022JJ00;0;Perioden;33;2022;;Definitief
